Agro_ecology,Site,Month,Year,TempMaxi,TempMini,RHMaxi,RHMini,Rainfall,Attractant,Trap,B_dorsa
FSM,Lalo,January,2009,35.4,23.7,86,34,0,ME,2,72
FSM,Lalo,January,2010,35.4,23.7,86,34,0,ME,2,160
SGS,Akofodjoule,November,2006,35.9,21.5,86,36,0,ME,1,41
SGS,Akofodjoule,November,2009,34.6,22.1,86,41,5.7,ME,1,29
SGS,Akofodjoule,January,2010,37.5,23.5,86,28,0,ME,1,78
SGS,Akofodjoule,February,2010,39.1,24.6,86,29,23.5,ME,1,12
SGS,Akofodjoule,March,2010,37.8,25.4,86,33,10.5,ME,1,8
SGS,Akofodjoule,November,2009,34.6,22.1,86,41,5.7,ME,2,10
SGS,Akofodjoule,January,2010,37.5,23.5,86,28,0,ME,2,71
SGS,Akofodjoule,February,2010,39.1,24.6,86,29,23.5,ME,2,7
SGS,Akofodjoule,March,2010,37.8,25.4,86,33,10.5,ME,2,14
SGS,Akofodjoule,November,2009,34.6,22.1,86,41,5.7,ME,3,45
SGS,Akofodjoule,January,2010,37.5,23.5,86,28,0,ME,3,5
SGS,Akofodjoule,February,2010,39.1,24.6,86,29,23.5,ME,3,13
SGS,Akofodjoule,March,2010,37.8,25.4,86,33,10.5,ME,3,13
SGS,Akofodjoule,December,2008,36.1,23,85.5,33.9,0,ME,1,15
SGS,Akofodjoule,December,2008,36.1,23,85.5,33.9,0,ME,2,12
SGS,Akofodjoule,December,2007,35.6,22.1,84.8,34.6,0,ME,1,53
SGS,Akofodjoule,December,2007,35.6,22.1,84.8,34.6,0,ME,2,35
NGS,Ndali,April,2006,38.8,24.6,84,32,15,ME,1,122
NGS,Ndali,April,2006,38.8,24.6,84,32,15,ME,2,36
SGS,Bassila,April,2006,38.8,24.6,84,32,25.8,ME,1,1638
SGS,Bassila,January,2007,38.8,24.6,84,32,25.8,ME,2,47
SGS,Bassila,March,2008,38.8,24.6,84,32,25.8,ME,3,54
NGS,Natitingou,April,2008,37.6,24.2,83.9,49.6,72,ME,1,15
NGS,Natitingou,April,2008,37.6,24.2,83.9,49.6,72,ME,2,67
NGS,Natitingou,April,2008,37.6,24.2,83.9,49.6,72,ME,3,5
NGS,Papatia,April,2008,37.6,24.2,83.9,49.6,72,ME,1,0
NGS,Papatia,April,2008,37.6,24.2,83.9,49.6,72,ME,2,0
NGS,Ndali,April,2008,37.1,24,83.5,35.5,62.1,ME,1,18
NGS,Ndali,April,2008,37.1,24,83.5,35.5,62.1,ME,2,18
NGS,Ndali,April,2008,37.1,24,83.5,35.5,62.1,ME,3,17
NGS,Parakou,April,2008,37.1,24,83.5,35.5,62.1,ME,1,12
NGS,Parakou,April,2008,37.1,24,83.5,35.5,62.1,ME,2,4
SGS,Bassila,April,2008,37.1,24,83.5,35.5,103.5,ME,1,119
SGS,Bassila,January,2009,37.1,24,83.5,35.5,103.5,ME,2,295
SGS,Bassila,March,2010,37.1,24,83.5,35.5,103.5,ME,3,314
NGS,Ndali,February,2009,38.7,23.7,83,23,0,ME,1,52
NGS,Ndali,February,2009,38.7,23.7,83,23,0,ME,2,105
NGS,Ndali,February,2009,38.7,23.7,83,23,0,ME,3,52
NGS,Parakou,February,2009,38.7,23.7,83,23,0,ME,1,13
NGS,Parakou,February,2009,38.7,23.7,83,23,0,ME,2,17
SGS,Bassila,February,2009,38.7,23.7,83,23,0,ME,1,371
SGS,Bassila,November,2009,38.7,23.7,83,23,0,ME,2,44
NGS,Natitingou,November,2008,36.3,18.2,82.1,40.1,1.1,ME,1,392
NGS,Natitingou,November,2008,36.3,18.2,82.1,40.1,1.1,ME,2,103
NGS,Natitingou,November,2008,36.3,18.2,82.1,40.1,1.1,ME,3,205
NGS,Papatia,November,2008,36.3,18.2,82.1,40.1,1.1,ME,1,97
NGS,Papatia,November,2008,36.3,18.2,82.1,40.1,1.1,ME,2,115
NGS,Ndali,November,2005,36.9,21.5,82,25,0,ME,1,147
NGS,Ndali,March,2009,38.9,24.5,82,17,30.4,ME,1,198
NGS,Ndali,March,2009,38.9,24.5,82,17,30.4,ME,2,187
NGS,Ndali,March,2009,38.9,24.5,82,17,30.4,ME,3,319
NGS,Parakou,March,2009,38.9,24.5,82,17,30.4,ME,1,67
NGS,Parakou,March,2009,38.9,24.5,82,17,30.4,ME,2,50
NGS,Parakou,March,2009,38.9,24.5,82,17,30.4,ME,3,138
SGS,Bassila,November,2005,36.9,21.5,82,25,0,ME,1,69
SGS,Bassila,March,2009,38.9,24.5,82,17,67.7,ME,1,2395
SGS,Bassila,August,2006,36.9,21.5,82,25,0,ME,2,1406
SGS,Bassila,December,2009,38.9,24.5,82,17,67.7,ME,2,156
SGS,Bassila,October,2007,36.9,21.5,82,25,0,ME,3,1794
NGS,Ndali,March,2008,39.4,24.1,80.3,23.7,20.5,ME,1,6
NGS,Ndali,March,2008,39.4,24.1,80.3,23.7,20.5,ME,2,7
NGS,Ndali,March,2008,39.4,24.1,80.3,23.7,20.5,ME,3,3
NGS,Parakou,March,2008,39.4,24.1,80.3,23.7,20.5,ME,1,3
NGS,Parakou,March,2008,39.4,24.1,80.3,23.7,20.5,ME,2,6
SGS,Bassila,March,2008,39.4,24.1,80.3,23.7,5.7,ME,1,12
SGS,Bassila,December,2008,39.4,24.1,80.3,23.7,5.7,ME,2,256
SGS,Bassila,February,2010,39.4,24.1,80.3,23.7,5.7,ME,3,89
NGS,Ndali,March,2006,38.7,24.3,80,30,0,ME,1,142
NGS,Ndali,March,2006,38.7,24.3,80,30,0,ME,2,14
SGS,Akofodjoule,December,2006,36.7,20.8,80,37,0,ME,1,57
SGS,Bassila,March,2006,38.7,24.3,80,30,0,ME,1,1603
SGS,Bassila,December,2006,38.7,24.3,80,30,0,ME,2,122
SGS,Bassila,February,2008,38.7,24.3,80,30,0,ME,3,71
