Agro_ecology,Site,Month,Year,TempMaxi,TempMini,RHMaxi,RHMini,Rainfall,Attractant,Trap,B_dorsa,latitude,longitude
NGS,Natitingou,January,2010,37.3,18.5,62,30,0,ME,3,2,10.30416,1.37962
NGS,Papatia,January,2010,37.3,18.5,62,30,0,ME,1,16,6.4000211,2.0491574
NGS,Papatia,January,2010,37.3,18.5,62,30,0,ME,2,5,6.4000211,2.0491574
NGS,Papatia,January,2010,37.3,18.5,62,30,0,ME,3,15,6.4000211,2.0491574
SGS,Akofodjoule,January,2005,35.8,20.7,62,25,0,ME,1,163,7.75,2.38289865
NGS,Ndali,March,2007,39.8,24.1,61,20,0,ME,1,0,9.8592172,2.6998899
NGS,Ndali,March,2007,39.8,24.1,61,20,0,ME,2,0,9.8592172,2.6998899
SGS,Bassila,March,2007,39.8,24.1,61,20,0,ME,1,512,9.00814,1.6654
SGS,Bassila,December,2007,39.8,24.1,61,20,0,ME,2,93,9.00814,1.6654
SGS,Bassila,February,2009,39.8,24.1,61,20,0,ME,3,148,9.00814,1.6654
NGS,Natitingou,November,2007,35.3,19.9,60,35,12.1,ME,1,707,10.30416,1.37962
NGS,Natitingou,November,2007,35.3,19.9,60,35,12.1,ME,2,292,10.30416,1.37962
