Agro_ecology,Site,Month,Year,TempMaxi,TempMini,RHMaxi,RHMini,Rainfall,Attractant,Trap,B_dorsa,latitude,longitude
NGS,Natitingou,April,2008,37.6,24.2,83.9,49.6,72,ME,3,5,10.30416,1.37962
NGS,Papatia,April,2008,37.6,24.2,83.9,49.6,72,ME,1,0,6.4000211,2.0491574
NGS,Papatia,April,2008,37.6,24.2,83.9,49.6,72,ME,2,0,6.4000211,2.0491574
NGS,Ndali,April,2008,37.1,24,83.5,35.5,62.1,ME,1,18,9.8592172,2.6998899
NGS,Ndali,April,2008,37.1,24,83.5,35.5,62.1,ME,2,18,9.8592172,2.6998899
NGS,Ndali,April,2008,37.1,24,83.5,35.5,62.1,ME,3,17,9.8592172,2.6998899
NGS,Parakou,April,2008,37.1,24,83.5,35.5,62.1,ME,1,12,9.33716,2.63031
NGS,Parakou,April,2008,37.1,24,83.5,35.5,62.1,ME,2,4,9.33716,2.63031
SGS,Bassila,April,2008,37.1,24,83.5,35.5,103.5,ME,1,119,9.00814,1.6654
SGS,Bassila,January,2009,37.1,24,83.5,35.5,103.5,ME,2,295,9.00814,1.6654
SGS,Bassila,March,2010,37.1,24,83.5,35.5,103.5,ME,3,314,9.00814,1.6654
NGS,Ndali,February,2009,38.7,23.7,83,23,0,ME,1,52,9.8592172,2.6998899
NGS,Ndali,February,2009,38.7,23.7,83,23,0,ME,2,105,9.8592172,2.6998899
NGS,Ndali,February,2009,38.7,23.7,83,23,0,ME,3,52,9.8592172,2.6998899
NGS,Parakou,February,2009,38.7,23.7,83,23,0,ME,1,13,9.33716,2.63031
NGS,Parakou,February,2009,38.7,23.7,83,23,0,ME,2,17,9.33716,2.63031
SGS,Bassila,February,2009,38.7,23.7,83,23,0,ME,1,371,9.00814,1.6654
SGS,Bassila,November,2009,38.7,23.7,83,23,0,ME,2,44,9.00814,1.6654
NGS,Natitingou,November,2008,36.3,18.2,82.1,40.1,1.1,ME,1,392,10.30416,1.37962
NGS,Natitingou,November,2008,36.3,18.2,82.1,40.1,1.1,ME,2,103,10.30416,1.37962
NGS,Natitingou,November,2008,36.3,18.2,82.1,40.1,1.1,ME,3,205,10.30416,1.37962
NGS,Papatia,November,2008,36.3,18.2,82.1,40.1,1.1,ME,1,97,6.4000211,2.0491574
NGS,Papatia,November,2008,36.3,18.2,82.1,40.1,1.1,ME,2,115,6.4000211,2.0491574
NGS,Ndali,November,2005,36.9,21.5,82,25,0,ME,1,147,9.8592172,2.6998899
NGS,Ndali,March,2009,38.9,24.5,82,17,30.4,ME,1,198,9.8592172,2.6998899
NGS,Ndali,March,2009,38.9,24.5,82,17,30.4,ME,2,187,9.8592172,2.6998899
NGS,Ndali,March,2009,38.9,24.5,82,17,30.4,ME,3,319,9.8592172,2.6998899
NGS,Parakou,March,2009,38.9,24.5,82,17,30.4,ME,1,67,9.33716,2.63031
NGS,Parakou,March,2009,38.9,24.5,82,17,30.4,ME,2,50,9.33716,2.63031
NGS,Parakou,March,2009,38.9,24.5,82,17,30.4,ME,3,138,9.33716,2.63031
SGS,Bassila,November,2005,36.9,21.5,82,25,0,ME,1,69,9.00814,1.6654
SGS,Bassila,March,2009,38.9,24.5,82,17,67.7,ME,1,2395,9.00814,1.6654
SGS,Bassila,August,2006,36.9,21.5,82,25,0,ME,2,1406,9.00814,1.6654
SGS,Bassila,December,2009,38.9,24.5,82,17,67.7,ME,2,156,9.00814,1.6654
SGS,Bassila,October,2007,36.9,21.5,82,25,0,ME,3,1794,9.00814,1.6654
NGS,Ndali,March,2008,39.4,24.1,80.3,23.7,20.5,ME,1,6,9.8592172,2.6998899
NGS,Ndali,March,2008,39.4,24.1,80.3,23.7,20.5,ME,2,7,9.8592172,2.6998899
NGS,Ndali,March,2008,39.4,24.1,80.3,23.7,20.5,ME,3,3,9.8592172,2.6998899
NGS,Parakou,March,2008,39.4,24.1,80.3,23.7,20.5,ME,1,3,9.33716,2.63031
NGS,Parakou,March,2008,39.4,24.1,80.3,23.7,20.5,ME,2,6,9.33716,2.63031
SGS,Bassila,March,2008,39.4,24.1,80.3,23.7,5.7,ME,1,12,9.00814,1.6654
SGS,Bassila,December,2008,39.4,24.1,80.3,23.7,5.7,ME,2,256,9.00814,1.6654
SGS,Bassila,February,2010,39.4,24.1,80.3,23.7,5.7,ME,3,89,9.00814,1.6654
NGS,Ndali,March,2006,38.7,24.3,80,30,0,ME,1,142,9.8592172,2.6998899
NGS,Ndali,March,2006,38.7,24.3,80,30,0,ME,2,14,9.8592172,2.6998899
SGS,Akofodjoule,December,2006,36.7,20.8,80,37,0,ME,1,57,7.75,2.38289865
SGS,Bassila,March,2006,38.7,24.3,80,30,0,ME,1,1603,9.00814,1.6654
SGS,Bassila,December,2006,38.7,24.3,80,30,0,ME,2,122,9.00814,1.6654
SGS,Bassila,February,2008,38.7,24.3,80,30,0,ME,3,71,9.00814,1.6654
NGS,Ndali,November,2008,36.7,21.1,79.5,23.3,0,ME,1,163,9.8592172,2.6998899
NGS,Ndali,November,2008,36.7,21.1,79.5,23.3,0,ME,2,167,9.8592172,2.6998899
NGS,Ndali,November,2008,36.7,21.1,79.5,23.3,0,ME,3,187,9.8592172,2.6998899
NGS,Parakou,November,2008,36.7,21.1,79.5,23.3,0,ME,1,126,9.33716,2.63031
NGS,Parakou,November,2008,36.7,21.1,79.5,23.3,0,ME,2,116,9.33716,2.63031
SGS,Bassila,November,2008,36.7,21.1,79.5,23.3,0,ME,1,618,9.00814,1.6654
SGS,Bassila,August,2009,36.7,21.1,79.5,23.3,0,ME,2,1119,9.00814,1.6654
NGS,Ndali,February,2006,38.8,23.6,77,25,7.6,ME,1,41,9.8592172,2.6998899
NGS,Ndali,March,2010,37.9,24.9,77,27,9.2,ME,1,13,9.8592172,2.6998899
NGS,Ndali,February,2006,38.8,23.6,77,25,7.6,ME,2,18,9.8592172,2.6998899
NGS,Ndali,March,2010,37.9,24.9,77,27,9.2,ME,2,10,9.8592172,2.6998899
NGS,Ndali,March,2010,37.9,24.9,77,27,9.2,ME,3,21,9.8592172,2.6998899
NGS,Parakou,March,2010,37.9,24.9,77,27,9.2,ME,1,11,9.33716,2.63031
NGS,Parakou,March,2010,37.9,24.9,77,27,9.2,ME,2,27,9.33716,2.63031
NGS,Parakou,March,2010,37.9,24.9,77,27,9.2,ME,3,70,9.33716,2.63031
SGS,Akofodjoule,January,2009,35.5,22,77,29,0,ME,1,12,7.75,2.38289865
SGS,Akofodjoule,January,2009,35.5,22,77,29,0,ME,2,15,7.75,2.38289865
SGS,Alafiarou1,March,2010,37.9,24.9,77,27,62.7,ME,1,4,9.8923435,3.4187595
SGS,Alafiarou1,March,2010,37.9,24.9,77,27,62.7,ME,2,6,9.8923435,3.4187595
SGS,Alafiarou1,March,2010,37.9,24.9,77,27,62.7,ME,3,3,9.8923435,3.4187595
SGS,Alafiarou2,March,2010,37.9,24.9,77,27,62.7,ME,1,11,9.8923435,3.4187595
SGS,Alafiarou2,March,2010,37.9,24.9,77,27,62.7,ME,2,6,9.8923435,3.4187595
SGS,Alafiarou2,March,2010,37.9,24.9,77,27,62.7,ME,3,2,9.8923435,3.4187595
SGS,Bassila,February,2006,38.8,23.6,77,25,0,ME,1,406,9.00814,1.6654
SGS,Bassila,March,2010,37.9,24.9,77,27,0,ME,1,359,9.00814,1.6654
SGS,Bassila,November,2006,38.8,23.6,77,25,0,ME,2,91,9.00814,1.6654
SGS,Bassila,January,2008,38.8,23.6,77,25,0,ME,3,53,9.00814,1.6654
SGS,Tchourou1,March,2010,37.9,24.9,77,27,62.7,ME,1,86,8.88649,2.59753
SGS,Tchourou1,March,2010,37.9,24.9,77,27,62.7,ME,2,53,8.88649,2.59753
SGS,Tchourou1,March,2010,37.9,24.9,77,27,62.7,ME,3,115,8.88649,2.59753
SGS,Tchourou2,March,2010,37.9,24.9,77,27,62.7,ME,1,23,8.88649,2.59753
SGS,Tchourou2,March,2010,37.9,24.9,77,27,62.7,ME,2,7,8.88649,2.59753
SGS,Tchourou2,March,2010,37.9,24.9,77,27,62.7,ME,3,16,8.88649,2.59753
NGS,Ndali,January,2006,37.3,22.8,76,29,0,ME,1,119,9.8592172,2.6998899
NGS,Ndali,November,2009,33.4,21.3,76,35,24.8,ME,1,181,9.8592172,2.6998899
NGS,Ndali,November,2009,33.4,21.3,76,35,24.8,ME,2,138,9.8592172,2.6998899
NGS,Ndali,November,2009,33.4,21.3,76,35,24.8,ME,3,198,9.8592172,2.6998899
NGS,Parakou,November,2009,33.4,21.3,76,35,24.8,ME,1,31,9.33716,2.63031
NGS,Parakou,November,2009,33.4,21.3,76,35,24.8,ME,2,49,9.33716,2.63031
NGS,Parakou,November,2009,33.4,21.3,76,35,24.8,ME,3,79,9.33716,2.63031
SGS,Alafiarou1,November,2009,33.4,21.3,76,35,0,ME,1,30,9.8923435,3.4187595
SGS,Alafiarou1,November,2009,33.4,21.3,76,35,0,ME,2,69,9.8923435,3.4187595
SGS,Alafiarou1,November,2009,33.4,21.3,76,35,0,ME,3,82,9.8923435,3.4187595
SGS,Alafiarou2,November,2009,33.4,21.3,76,35,0,ME,1,128,9.8923435,3.4187595
SGS,Alafiarou2,November,2009,33.4,21.3,76,35,0,ME,2,126,9.8923435,3.4187595
SGS,Alafiarou2,November,2009,33.4,21.3,76,35,0,ME,3,95,9.8923435,3.4187595
SGS,Bassila,January,2006,37.3,22.8,76,29,19.4,ME,1,146,9.00814,1.6654
SGS,Bassila,November,2009,33.4,21.3,76,35,0,ME,1,62,9.00814,1.6654
SGS,Bassila,October,2006,37.3,22.8,76,29,19.4,ME,2,323,9.00814,1.6654
SGS,Bassila,December,2007,37.3,22.8,76,29,19.4,ME,3,135,9.00814,1.6654
SGS,Tchourou1,November,2009,33.4,21.3,76,35,0,ME,1,52,8.88649,2.59753
SGS,Tchourou1,November,2009,33.4,21.3,76,35,0,ME,2,43,8.88649,2.59753
SGS,Tchourou1,November,2009,33.4,21.3,76,35,0,ME,3,47,8.88649,2.59753
SGS,Tchourou2,November,2009,33.4,21.3,76,35,0,ME,1,57,8.88649,2.59753
SGS,Tchourou2,November,2009,33.4,21.3,76,35,0,ME,2,0,8.88649,2.59753
SGS,Tchourou2,November,2009,33.4,21.3,76,35,0,ME,3,65,8.88649,2.59753
NGS,Natitingou,March,2009,38.8,24.4,75,40,9.7,ME,1,29,10.30416,1.37962
NGS,Natitingou,March,2009,38.8,24.4,75,40,9.7,ME,2,25,10.30416,1.37962
NGS,Natitingou,March,2009,38.8,24.4,75,40,9.7,ME,3,19,10.30416,1.37962
NGS,Papatia,March,2009,38.8,24.4,75,40,9.7,ME,1,34,6.4000211,2.0491574
